Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
GCUT13      MAX_AREA      WIDTH        False                      40.0229   0.000399065  0.000392437           1.35294e-05       40.0229   59.9771          32              15               17            46.875             53.125
GCUT13      MAX_AREA      ID           True                       75.5894   0.000491953  0.00048542            1.24157e-05       75.5894   24.4106          32              19               13            59.375             40.625
GCUT13      MAX_AREA      ID           False                      40.0229   0.000404119  0.000398636           1.15745e-05       40.0229   59.9771          32              15               17            46.875             53.125
GCUT13      NONE          AREA         True                       91.2187   0.0125647    0.012485              0.000142953       91.2187    8.7813          32              11               21            34.375             65.625
GCUT13      NONE          AREA         False                      58.9385   0.05015      0.0499742             0.000418406       58.9385   41.0615          32              21               11            65.625             34.375
GCUT13      NONE          PERIMETER    True                       91.2187   0.0125752    0.0125849             0.000110878       91.2187    8.7813          32              11               21            34.375             65.625
GCUT13      NONE          PERIMETER    False                      54.0947   0.0459689    0.0458291             0.000301333       54.0947   45.9053          32              20               12            62.5               37.5
GCUT13      NONE          HEIGHT       True                       91.2187   0.0126344    0.0126066             9.54544e-05       91.2187    8.7813          32              11               21            34.375             65.625
GCUT13      NONE          HEIGHT       False                      58.9385   0.0497567    0.0496683             0.000297054       58.9385   41.0615          32              21               11            65.625             34.375
GCUT13      NONE          WIDTH        True                       72.3215   0.0262862    0.0262306             9.85321e-05       72.3215   27.6785          32              21               11            65.625             34.375
GCUT13      NONE          WIDTH        False                      47.4392   0.0240194    0.0240362             0.000148767       47.4392   52.5608          32              15               17            46.875             53.125
GCUT13      NONE          ID           True                       77.8546   0.0251795    0.025207              0.000118355       77.8546   22.1454          32              20               12            62.5               37.5
GCUT13      NONE          ID           False                      47.4392   0.0241768    0.0241728             0.000196819       47.4392   52.5608          32              15               17            46.875             53.125
